# BEGIN PLOT
Title=PDF sampling $x, Q$ value distribution
XLabel=$x$
YLabel=$Q$
LogX=1
LogY=0
FullRange=1
LegendXPos=0.1
LegendYPos=0.5
ZLabel=$N$
LogZ=1
# END PLOT

# BEGIN HISTO2D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXQ
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_PDFS/PdfXQ
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
1.000000e-06	1.318257e-06	0.000000e+00	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	6.000000e-01	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	1.200000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	1.800000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	2.400000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	3.000000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	3.600000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	4.200000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	4.800000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	5.400000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	6.000000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	6.600000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	7.200000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	7.800000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	8.400000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	9.000000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-06	1.318257e-06	9.600000e+00	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
